HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.list,Input.trial_1,Input.trial_2,Input.trial_3,Input.trial_4,Input.trial_5,Input.trial_6,Input.trial_7,Input.trial_8,Input.trial_9,Input.trial_10,Answer.Rating1,Answer.Rating10,Answer.Rating2,Answer.Rating3,Answer.Rating4,Answer.Rating5,Answer.Rating6,Answer.Rating7,Answer.Rating8,Answer.Rating9,Answer.RatingSample1,Answer.RatingSample2,Answer.english,Answer.foreignlang,Answer.numanswered,Answer.useragent,Approve,Reject
2BC00OQKKA4IQ6T9H5T6D0EXGNGYY6,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,7,BatchId:1049404;,3600,604800,Wed Mar 06 01:44:26 GMT 2013,,,2B0N46UXFCD4DBXV8Y4SSTKKYGGSUS,AA51ILGJ4Z5LW,Submitted,Tue Feb 26 16:50:46 GMT 2013,Tue Feb 26 16:52:17 GMT 2013,Tue Mar 05 08:52:17 PST 2013,,,,91,100% (2/2),100% (2/2),0% (0/0),0,That's the rabbit that the magician made vanish into thin air.,That's the gymnast that the coach made balance on the beam.,That's the girl that the teacher played with the doll.,That's the idea that the team made float at the meeting.,That's the wall that the carpenter broke into several pieces.,That's the engine that the mechanic ran idle for 2 hours.,That's the film that the assistant developed in the darkroom.,That's the book that the student made return to the library.,That's the student that the councilor made skip the road.,That's the gang that the officer leaned against the wall.,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,,,,
2BC00OQKKA4IQ6T9H5T6D0EXGNGYY6,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,7,BatchId:1049404;,3600,604800,Wed Mar 06 01:44:26 GMT 2013,,,2BANMHGYQ4J3VOWNQQDFKOY0T919MP,AIPK94CUWL45W,Submitted,Wed Feb 27 04:31:37 GMT 2013,Wed Feb 27 04:32:41 GMT 2013,Tue Mar 05 20:32:41 PST 2013,,,,64,100% (1/1),100% (1/1),0% (0/0),0,That's the rabbit that the magician made vanish into thin air.,That's the gymnast that the coach made balance on the beam.,That's the girl that the teacher played with the doll.,That's the idea that the team made float at the meeting.,That's the wall that the carpenter broke into several pieces.,That's the engine that the mechanic ran idle for 2 hours.,That's the film that the assistant developed in the darkroom.,That's the book that the student made return to the library.,That's the student that the councilor made skip the road.,That's the gang that the officer leaned against the wall.,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,10,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:19.0) Gecko/20100101 Firefox/19.0,,
2BC00OQKKA4IQ6T9H5T6D0EXGNGYY6,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,7,BatchId:1049404;,3600,604800,Wed Mar 06 01:44:26 GMT 2013,,,2BI6SVQ8H88MY8R2KZ2VHI1T89E6P9,A1MLJ69XSGEYB8,Submitted,Tue Feb 26 07:26:22 GMT 2013,Tue Feb 26 07:27:20 GMT 2013,Mon Mar 04 23:27:20 PST 2013,,,,58,33% (1/3),33% (1/3),0% (0/0),0,That's the rabbit that the magician made vanish into thin air.,That's the gymnast that the coach made balance on the beam.,That's the girl that the teacher played with the doll.,That's the idea that the team made float at the meeting.,That's the wall that the carpenter broke into several pieces.,That's the engine that the mechanic ran idle for 2 hours.,That's the film that the assistant developed in the darkroom.,That's the book that the student made return to the library.,That's the student that the councilor made skip the road.,That's the gang that the officer leaned against the wall.,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,10,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),,
2BC00OQKKA4IQ6T9H5T6D0EXGNGYY6,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,7,BatchId:1049404;,3600,604800,Wed Mar 06 01:44:26 GMT 2013,,,2M1KSSZVXX2QCJFBZ1FYLNIYCZ55NZ,A1A03XN33VQGA2,Submitted,Tue Feb 26 08:26:42 GMT 2013,Tue Feb 26 08:27:32 GMT 2013,Tue Mar 05 00:27:32 PST 2013,,,,50,25% (1/4),25% (1/4),0% (0/0),0,That's the rabbit that the magician made vanish into thin air.,That's the gymnast that the coach made balance on the beam.,That's the girl that the teacher played with the doll.,That's the idea that the team made float at the meeting.,That's the wall that the carpenter broke into several pieces.,That's the engine that the mechanic ran idle for 2 hours.,That's the film that the assistant developed in the darkroom.,That's the book that the student made return to the library.,That's the student that the councilor made skip the road.,That's the gang that the officer leaned against the wall.,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,10,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; Touch; .NET4.0E; .NET4.0C; Tablet PC 2.0),,
2BC00OQKKA4IQ6T9H5T6D0EXGNGYY6,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,7,BatchId:1049404;,3600,604800,Wed Mar 06 01:44:26 GMT 2013,,,2M4F0CP5KXPTQ13ZC974UM7P9MFYXW,A1XFERUH6BOQNG,Submitted,Wed Feb 27 05:54:55 GMT 2013,Wed Feb 27 05:57:14 GMT 2013,Tue Mar 05 21:57:14 PST 2013,,,,139,100% (2/2),100% (2/2),0% (0/0),0,That's the rabbit that the magician made vanish into thin air.,That's the gymnast that the coach made balance on the beam.,That's the girl that the teacher played with the doll.,That's the idea that the team made float at the meeting.,That's the wall that the carpenter broke into several pieces.,That's the engine that the mechanic ran idle for 2 hours.,That's the film that the assistant developed in the darkroom.,That's the book that the student made return to the library.,That's the student that the councilor made skip the road.,That's the gang that the officer leaned against the wall.,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,10,Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0,,
2BC00OQKKA4IQ6T9H5T6D0EXGNGYY6,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,7,BatchId:1049404;,3600,604800,Wed Mar 06 01:44:26 GMT 2013,,,2MGK2JE1M7PKSN68BHFZFC06WGMPWI,A3QIG18VHBXBSZ,Submitted,Wed Feb 27 18:40:20 GMT 2013,Wed Feb 27 18:41:35 GMT 2013,Wed Mar 06 10:41:35 PST 2013,,,,75,100% (3/3),100% (3/3),0% (0/0),0,That's the rabbit that the magician made vanish into thin air.,That's the gymnast that the coach made balance on the beam.,That's the girl that the teacher played with the doll.,That's the idea that the team made float at the meeting.,That's the wall that the carpenter broke into several pieces.,That's the engine that the mechanic ran idle for 2 hours.,That's the film that the assistant developed in the darkroom.,That's the book that the student made return to the library.,That's the student that the councilor made skip the road.,That's the gang that the officer leaned against the wall.,Y,Y,,,N,Y,,Y,N,,,N,,N,,,,
2BC00OQKKA4IQ6T9H5T6D0EXGNGYY6,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,7,BatchId:1049404;,3600,604800,Wed Mar 06 01:44:26 GMT 2013,,,2TEJUNU8LZ6RFE1M6KZDDJ3XPO03J4,A3F578S9TIGM84,Submitted,Wed Feb 27 16:02:13 GMT 2013,Wed Feb 27 16:05:52 GMT 2013,Wed Mar 06 08:05:52 PST 2013,,,,219,100% (1/1),100% (1/1),0% (0/0),0,That's the rabbit that the magician made vanish into thin air.,That's the gymnast that the coach made balance on the beam.,That's the girl that the teacher played with the doll.,That's the idea that the team made float at the meeting.,That's the wall that the carpenter broke into several pieces.,That's the engine that the mechanic ran idle for 2 hours.,That's the film that the assistant developed in the darkroom.,That's the book that the student made return to the library.,That's the student that the councilor made skip the road.,That's the gang that the officer leaned against the wall.,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,,,,
2TEA6X3YOCCF8QAMZ8GTNNIJD9XPQ1,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,26KBRI8IUB2Y2NT0W3KLG3L2QSRH57,A3LQAX287GQ35Q,Submitted,Wed Feb 27 16:31:39 GMT 2013,Wed Feb 27 16:33:56 GMT 2013,Wed Mar 06 08:33:56 PST 2013,,,,137,100% (1/1),100% (1/1),0% (0/0),1,That's the gang that the officer leaned against the wall.,That's the student that the councilor made skip the road.,That's the book that the student made return to the library.,That's the film that the assistant developed in the darkroom.,That's the engine that the mechanic ran idle for 2 hours.,That's the wall that the carpenter broke into several pieces.,That's the idea that the team made float at the meeting.,That's the girl that the teacher played with the doll.,That's the gymnast that the coach made balance on the beam.,That's the rabbit that the magician made vanish into thin air.,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0,,
2TEA6X3YOCCF8QAMZ8GTNNIJD9XPQ1,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,2GT8N46UXFCDCJITT4EDXNTMT2ERT4,A34VVBBD4VMRUI,Submitted,Wed Feb 27 00:16:47 GMT 2013,Wed Feb 27 00:18:25 GMT 2013,Tue Mar 05 16:18:25 PST 2013,,,,98,100% (2/2),100% (2/2),0% (0/0),1,That's the gang that the officer leaned against the wall.,That's the student that the councilor made skip the road.,That's the book that the student made return to the library.,That's the film that the assistant developed in the darkroom.,That's the engine that the mechanic ran idle for 2 hours.,That's the wall that the carpenter broke into several pieces.,That's the idea that the team made float at the meeting.,That's the girl that the teacher played with the doll.,That's the gymnast that the coach made balance on the beam.,That's the rabbit that the magician made vanish into thin air.,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0,,
2TEA6X3YOCCF8QAMZ8GTNNIJD9XPQ1,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,2I0MQU6L5OBVKWM8C8VANJF9RD1XED,A274FLWJ2ZD2ZH,Submitted,Thu Feb 28 02:11:00 GMT 2013,Thu Feb 28 02:11:44 GMT 2013,Wed Mar 06 18:11:44 PST 2013,,,,44,25% (1/4),25% (1/4),0% (0/0),1,That's the gang that the officer leaned against the wall.,That's the student that the councilor made skip the road.,That's the book that the student made return to the library.,That's the film that the assistant developed in the darkroom.,That's the engine that the mechanic ran idle for 2 hours.,That's the wall that the carpenter broke into several pieces.,That's the idea that the team made float at the meeting.,That's the girl that the teacher played with the doll.,That's the gymnast that the coach made balance on the beam.,That's the rabbit that the magician made vanish into thin air.,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,,,,
2TEA6X3YOCCF8QAMZ8GTNNIJD9XPQ1,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,2JUHECWA6X3YWQXWFNG5PXPVTZRLMZ,A1MLJ69XSGEYB8,Submitted,Tue Feb 26 07:27:30 GMT 2013,Tue Feb 26 07:28:15 GMT 2013,Mon Mar 04 23:28:15 PST 2013,,,,45,33% (1/3),33% (1/3),0% (0/0),1,That's the gang that the officer leaned against the wall.,That's the student that the councilor made skip the road.,That's the book that the student made return to the library.,That's the film that the assistant developed in the darkroom.,That's the engine that the mechanic ran idle for 2 hours.,That's the wall that the carpenter broke into several pieces.,That's the idea that the team made float at the meeting.,That's the girl that the teacher played with the doll.,That's the gymnast that the coach made balance on the beam.,That's the rabbit that the magician made vanish into thin air.,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,10,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),,
2TEA6X3YOCCF8QAMZ8GTNNIJD9XPQ1,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,2LVQ39Z0B6UTWKELT6JT0RKI08IXME,AMSWIR4J9XEIJ,Submitted,Tue Feb 26 11:28:22 GMT 2013,Tue Feb 26 11:29:48 GMT 2013,Tue Mar 05 03:29:48 PST 2013,,,,86,100% (4/4),100% (3/3),100% (1/1),1,That's the gang that the officer leaned against the wall.,That's the student that the councilor made skip the road.,That's the book that the student made return to the library.,That's the film that the assistant developed in the darkroom.,That's the engine that the mechanic ran idle for 2 hours.,That's the wall that the carpenter broke into several pieces.,That's the idea that the team made float at the meeting.,That's the girl that the teacher played with the doll.,That's the gymnast that the coach made balance on the beam.,That's the rabbit that the magician made vanish into thin air.,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,,,,
2TEA6X3YOCCF8QAMZ8GTNNIJD9XPQ1,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,2W6C1PC6SK9RRMQ5ETQEMMAC0BL1PJ,A2WLMNDSN9LWJX,Submitted,Sat Mar 02 04:33:59 GMT 2013,Sat Mar 02 04:35:19 GMT 2013,Fri Mar 08 20:35:19 PST 2013,,,,80,100% (1/1),100% (1/1),0% (0/0),1,That's the gang that the officer leaned against the wall.,That's the student that the councilor made skip the road.,That's the book that the student made return to the library.,That's the film that the assistant developed in the darkroom.,That's the engine that the mechanic ran idle for 2 hours.,That's the wall that the carpenter broke into several pieces.,That's the idea that the team made float at the meeting.,That's the girl that the teacher played with the doll.,That's the gymnast that the coach made balance on the beam.,That's the rabbit that the magician made vanish into thin air.,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,,,,
2P546UXFCD455QZA2OJNYKIOJ4WTV3,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,20M8Y1THV8ERHCTA2V9M4SM7V0Y0NV,A2UQVKQ4ADATS3,Submitted,Thu Feb 28 20:48:12 GMT 2013,Thu Feb 28 20:52:46 GMT 2013,Thu Mar 07 12:52:46 PST 2013,,,,274,100% (6/6),100% (3/3),0% (0/0),2,That's the rabbit that the magician made vanish into thin air.,That's the book that the girl balanced on her head.,That's the girl that the teacher played with the doll.,That's the engine that the mechanic made run idle for 2 hours.,That's the student that the councilor made skip the road.,That's the gang that the officer made lean against the wall.,That's the film that the assistant developed in the darkroom.,That's the intern that the supervisor returned for another shift.,That's the wall that the carpenter broke into several pieces.,That's the boy that the instructor floated in the pool.,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,N,10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0,,
2P546UXFCD455QZA2OJNYKIOJ4WTV3,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,223RI8IUB2YUHM4Y74CB8L0HM4CI6K,A2F0NZQ8F9ON8C,Submitted,Thu Feb 28 18:18:06 GMT 2013,Thu Feb 28 18:19:32 GMT 2013,Thu Mar 07 10:19:32 PST 2013,,,,86,100% (4/4),100% (4/4),0% (0/0),2,That's the rabbit that the magician made vanish into thin air.,That's the book that the girl balanced on her head.,That's the girl that the teacher played with the doll.,That's the engine that the mechanic made run idle for 2 hours.,That's the student that the councilor made skip the road.,That's the gang that the officer made lean against the wall.,That's the film that the assistant developed in the darkroom.,That's the intern that the supervisor returned for another shift.,That's the wall that the carpenter broke into several pieces.,That's the boy that the instructor floated in the pool.,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,10,Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0,,
2P546UXFCD455QZA2OJNYKIOJ4WTV3,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,25J14IXKO2L9AVZTBLXX8YOENTHCBX,APPTLVXZD0SKE,Submitted,Tue Feb 26 20:02:53 GMT 2013,Tue Feb 26 20:04:13 GMT 2013,Tue Mar 05 12:04:13 PST 2013,,,,80,100% (3/3),100% (2/2),0% (0/0),2,That's the rabbit that the magician made vanish into thin air.,That's the book that the girl balanced on her head.,That's the girl that the teacher played with the doll.,That's the engine that the mechanic made run idle for 2 hours.,That's the student that the councilor made skip the road.,That's the gang that the officer made lean against the wall.,That's the film that the assistant developed in the darkroom.,That's the intern that the supervisor returned for another shift.,That's the wall that the carpenter broke into several pieces.,That's the boy that the instructor floated in the pool.,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,10,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E),,
2P546UXFCD455QZA2OJNYKIOJ4WTV3,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,2BP3V0FK0COKAXZI1IGKP9LT7PQHOA,A274FLWJ2ZD2ZH,Submitted,Thu Feb 28 02:11:49 GMT 2013,Thu Feb 28 02:12:26 GMT 2013,Wed Mar 06 18:12:26 PST 2013,,,,37,25% (1/4),25% (1/4),0% (0/0),2,That's the rabbit that the magician made vanish into thin air.,That's the book that the girl balanced on her head.,That's the girl that the teacher played with the doll.,That's the engine that the mechanic made run idle for 2 hours.,That's the student that the councilor made skip the road.,That's the gang that the officer made lean against the wall.,That's the film that the assistant developed in the darkroom.,That's the intern that the supervisor returned for another shift.,That's the wall that the carpenter broke into several pieces.,That's the boy that the instructor floated in the pool.,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,,,,
2P546UXFCD455QZA2OJNYKIOJ4WTV3,2MLW6NG1FS3N614SDQSF4SZL3XGYKS,Grammaticality Judgement Task,Decide whether 10 sentences sound natural or unnatural (Survey for native English speakers only!),"experiment, survey, language, easy, short",$0.10 ,Tue Feb 26 05:52:54 GMT 2013,6,BatchId:1049404;,3600,604800,Tue Mar 05 05:52:54 GMT 2013,,,2IEQU6L5OBVCQFCECF1IOF7I5SDFY2,A2AM85HTVCKSWB,Submitted,Sat Mar 02 15:20:16 GMT 2013,Sat Mar 02 15:21:25 GMT 2013,Sat Mar 09 07:21:25 PST 2013,,,,69,67% (2/3),67% (2/3),0% (0/0),2,That's the rabbit that the magician made vanish into thin air.,That's the book that the girl balanced on her head.,That's the girl that the teacher played with the doll.,That's the engine that the mechanic made run idle for 2 hours.,That's the student that the councilor made skip the road.,That's the gang that the officer made lean against the wall.,That's the film that the assistant developed in the darkroom.,That's the intern that the supervisor returned for another shift.,That's the wall that the carpenter broke into several pieces.,That's the boy that the instructor floated in the pool.,Y,N,Y,N,Y,N,Y,Y,N,Y,,,Y,Y,10,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,,
